ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput
www.pku.edu.cn,0.9,69,69,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.9,89,89,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.9,109,109,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.9,129,129,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.9,149,149,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.91,9,9,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.91,29,29,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.91,49,49,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.91,69,69,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.91,89,89,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.91,109,109,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.91,129,129,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.91,149,149,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.92,9,9,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.92,29,29,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.92,49,49,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.92,69,69,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.92,89,89,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.92,109,109,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.92,129,129,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.92,149,149,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
