ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput
www.ru.ac.za,0.98,69,0,69,0.0,0.49533075242,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.98,89,0,89,0.0,0.50798534611,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.98,109,9,100,0.0825688073394,0.506509896635,8.41491412605
www.ru.ac.za,0.98,129,22,107,0.170542635659,0.507160654057,5.84767989383
www.ru.ac.za,0.98,149,35,114,0.234899328859,0.504440677776,5.00950299989
www.ru.ac.za,0.99,9,0,9,0.0,0.51518970713,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.99,29,0,29,0.0,0.510814874072,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.99,49,0,49,0.0,0.505870532192,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.99,69,0,69,0.0,0.502784004183,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.99,89,0,89,0.0,0.50835727534,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.99,109,9,100,0.0825688073394,0.5075758639,8.39724184564
www.ru.ac.za,0.99,129,22,107,0.170542635659,0.507860672564,5.83961964351
www.ru.ac.za,0.99,149,35,114,0.234899328859,0.506427695305,4.98984773545
